title,year,director,country,duration,genre,first_day,first_week,first_weekend,hebdo_rank,total_spectator,copies,rating_press,rating_public,casting,budget,lang,visa,award
linterprete,2005,sydney pollack,etatsunis,7200,thriller,53797.0,322469,260421.0,2,957635,371,3.0,2.9,"[""Nicole Kidman"", ""Sean Penn"", ""Chris McKinney"", ""Dana Eskelson""]",80000000.0,"[""anglais""]",-1.0,0.0
le monde perdu,1997,steven spielberg,etatsunis,7740,aventure action,342702.0,1992899,1512764.0,1,4862258,656,,,,104802000.0,,,
lexorciste version integrale,2000,william friedkin,etatsunis,7920,horreur,76704.29752953813,621727,378094.05652680655,1,1301872,440,,,,224575553.58251366,,,
tout peut arriver,2003,nancy meyers,etatsunis,7980,comedie,33673.0,306942,251549.0,5,878848,337,,,,232656000.0,,,
ambulance,2022,michael bay,etatsunis,8220,thriller,37688.0,142412,123544.0,4,254803,434,3.1,2.7,"[""Jake Gyllenhaal"", ""Yahya Abdul-Mateen II"", ""Eiza Gonzalez"", ""Garret Dillahunt""]",491456000.0,"[""anglais""]",156641.0,0.0
ponyo sur la falaise,2008,hayao miyazaki,japon,6900,animation,47639.0,248029,186326.0,7,906455,251,,,,193000000.0,,,
taxi 2,2000,gerard krawczyk,france,5400,comedie,801922.0,3478850,2951255.0,1,10345901,831,2.8,1.9,"[""Samy Naceri"", ""Frédéric Diefenthal"", ""Marion Cotillard"", ""Emma Wiklund""]",10700000.0,"[""francais"", ""allemand"", ""japonais""]",97378.0,0.0
enfermes dehors,2006,albert dupontel,france,5280,comedie,42178.0,255592,204789.0,4,595313,340,3.9,3.0,"[""Albert Dupontel"", ""Claude Perron"", ""Nicolas Marié"", ""Hélène Vincent""]",529000000.0,"[""francais""]",111848.0,0.0
adieu les cons,2020,albert dupontel,france,5220,comedie,111586.0,600444,475203.0,1,1993197,632,3.7,4.0,"[""Virginie Efira"", ""Albert Dupontel"", ""Nicolas Marié"", ""Jackie Berroyer""]",85200000.0,"[""francais""]",150859.0,7.0
sin city jai tue pour elle,2014,robert rodriguez,etatsunis,6120,comicbook,29618.4,185758,147021.0,2,376128,350,2.8,3.5,"[""Eva Green"", ""Josh Brolin"", ""Jessica Alba"", ""Bruce Willis""]",104870754.8,"[""anglais""]",140284.0,0.0
